annotation_id,dataset,sample_index,dataset_index,sample_id,selection_reason,model_key,prompt_type,question,choices,gold_answer,model_prediction,is_correct_by_rule,raw_output,image_path,human_is_hallucination,human_hallucination_type,human_evidence,human_confidence_1_to_3
HJ001,pope,3500,3500,3500,direct_cot_disagreement_wrong_side,qwen2_5_vl,cot_light,Is there a truck in the image?,,yes,no,False,"The image shows a man standing under a tent with various items for sale, including a sign that says ""Fresh Roasted Peanuts."" There is also a small vehicle in the background that appears to be a utility vehicle, possibly a golf cart or a similar type of vehicle used for transporting goods at fairs or markets. However, it is not clearly identifiable as a truck.

Final answer: No",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/001_pope_3500_qwen2_5_vl_cot_light.jpg,yes,vision-grounding error,"The truck is in the center of the picture, but is obscured by the railing.",3
HJ002,pope,3500,3500,3500,direct_cot_disagreement_right_side,qwen2_5_vl,direct,Is there a truck in the image?,,yes,yes,True,Yes.,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/002_pope_3500_qwen2_5_vl_direct.jpg,no,none,correct answer,3
HJ003,pope,4955,4955,4955,direct_cot_disagreement_wrong_side,qwen3_vl,cot_light,Is there a car in the image?,,no,yes,False,"The image shows a shelf with various items, including a teddy bear, a Santa Claus figurine, and several containers. One of the containers, located on the right side of the shelf, has a design that clearly depicts a cartoon car. This is visible on the cylindrical container with the label ""Teachers' Fave"" and a colorful illustration of a car.

yes",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/003_pope_4955_qwen3_vl_cot_light.jpg,yes,vision-grounding error,"The image only contains a car-like illustration/logo, not a real car object.",3
HJ004,pope,4955,4955,4955,direct_cot_disagreement_right_side,qwen3_vl,direct,Is there a car in the image?,,no,no,True,no,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/004_pope_4955_qwen3_vl_direct.jpg,no,none,correct answer,3
HJ005,pope,1216,1216,1216,direct_cot_disagreement_wrong_side,llava_onevision,cot_light,Is there a suitcase in the image?,,yes,no,False,no,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/005_pope_1216_llava_onevision_cot_light.jpg,yes,vision-grounding error,The person in the picture is sitting on a suitcase.,3
HJ006,pope,1216,1216,1216,direct_cot_disagreement_right_side,llava_onevision,direct,Is there a suitcase in the image?,,yes,yes,True,Yes,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/006_pope_1216_llava_onevision_direct.jpg,no,none,correct answer,3
HJ007,pope,6508,6508,6508,direct_cot_disagreement_wrong_side,qwen2_5_vl,cot_light,Is there a toilet in the image?,,yes,no,False,"The image shows a display of decorative items that resemble toilets, but they are not functional toilets. They appear to be ornamental pieces, possibly part of an exhibit or a collection. Therefore, the final answer is no, there is not a functional toilet in the image.",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/007_pope_6508_qwen2_5_vl_cot_light.jpg,yes,vision-grounding error,"The image contains toilet-like objects, but the model adds an unsupported functional requirement and answers no.",3
HJ008,pope,6508,6508,6508,direct_cot_disagreement_right_side,qwen2_5_vl,direct,Is there a toilet in the image?,,yes,yes,True,Yes.,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/008_pope_6508_qwen2_5_vl_direct.jpg,no,none,correct answer,3
HJ009,pope,2274,2274,2274,direct_cot_disagreement_wrong_side,qwen2_5_vl,direct,Is there a backpack in the image?,,yes,no,False,No.,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/009_pope_2274_qwen2_5_vl_direct.jpg,yes,vision-grounding error,There is a person in the foreground wearing a bag that appears to be a backpack,3
HJ010,pope,2274,2274,2274,direct_cot_disagreement_right_side,qwen2_5_vl,cot_light,Is there a backpack in the image?,,yes,yes,True,"The image shows a group of people boarding an airplane, with some luggage visible. There is a person in the foreground wearing a bag that appears to be a backpack. 

Final answer: Yes.",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/010_pope_2274_qwen2_5_vl_cot_light.jpg,no,none,correct answer,3
HJ011,pope,8954,8954,8954,multi_model_hard_wrong_case,qwen2_5_vl,cot_light,Is there a sports ball in the image?,,yes,no,False,"The image shows a person playing tennis, and it is common for tennis to involve a ball. However, the ball itself is not visible in this particular image. The person appears to be in motion, possibly having just hit the ball, but the ball is out of frame.

Final answer: No",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/011_pope_8954_qwen2_5_vl_cot_light.jpg,no,none,"The ball is not visible in the image, so the model answer is visually supported.",2
HJ012,pope,8880,8880,8880,multi_model_hard_wrong_case,qwen2_5_vl,cot_light,Is there a car in the image?,,yes,no,False,"No, there is no car in the image. The image shows a decorative vase with red roses and green leaves, placed on a surface indoors. There are no elements that resemble a car.",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/012_pope_8880_qwen2_5_vl_cot_light.jpg,no,none,"The car is not visible in the image, so the model answer is visually supported.",3
HJ013,pope,8842,8842,8842,multi_model_hard_wrong_case,qwen3_vl,direct,Is there a sports ball in the image?,,yes,no,False,no,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/013_pope_8842_qwen3_vl_direct.jpg,yes,vision-grounding error,"The ball was thrown by the person in the picture, turning into a white afterimage.",3
HJ014,pope,8818,8818,8818,multi_model_hard_wrong_case,qwen3_vl,cot_light,Is there a sports ball in the image?,,yes,no,False,"The image shows three men in early baseball uniforms, and while one is holding a bat, there is no visible sports ball (like a baseball) in the frame. The focus is on the players and their attire.

no",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/014_pope_8818_qwen3_vl_cot_light.jpg,yes,vision-grounding error,The ball is in the hand of the person on the far right of the picture.,3
HJ015,pope,8798,8798,8798,multi_model_hard_wrong_case,llava_onevision,cot_light,Is there a chair in the image?,,yes,no,False,no,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/015_pope_8798_llava_onevision_cot_light.jpg,yes,vision-grounding error,"The chair is at the little girl's feet in the picture, only the upper part is visible.",3
HJ016,pope,8784,8784,8784,multi_model_hard_wrong_case,qwen2_5_vl,cot_light,Is there a spoon in the image?,,yes,no,False,"No, there is no spoon in the image. The image shows a plate with a sandwich, tomato slices, lettuce, and some fried food items, along with a fork and knife in the background.",/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/016_pope_8784_qwen2_5_vl_cot_light.jpg,yes,vision-grounding error,The spoon is in the upper right corner of the image; only the handle is visible.,3
HJ017,pope,8728,8728,8728,multi_model_hard_wrong_case,qwen2_5_vl,direct,Is there a boat in the image?,,yes,no,False,No.,/data2/huanjue/annotations/human_pope_mathvista_60_seed20260904/images/017_pope_8728_qwen2_5_vl_direct.jpg,no,none,"The boat is not visible in the image, so the model answer is visually supported.",2
